abandons's: abandoning,abandons
assassinating's: assassinated,assassinating
assaulting's: assaulted,assaulting
assembling's: assembled,assembling
asses: arsed,arses
asses': arsed,arses
assesse: assess,assessed
assessing's: assess,assessing
assigning's: assign,assigning
assisting's: assisted,assisting
associating's: associate,associating
ass's: arsed,arses
assuming's: assume,assuming
assureds: assuring,assured
assureds': assuring,assured
assured's: assuring,assured
astonishing's: astonish,astonishing
astounding's: astound,astounding
atherings: ather,athering
atherings': ather,athering
athering's: ather,athering
atrophying's: atrophy,atrophying
attacking's: attack,attacking
attaching's: attach,attaching
attempting's: attempts,attempting
attend: attendings,attending
attended: attendings,attending
attends: attendings,attending
attheds: atthe,atthed
attheds': atthe,atthed
atthed's: atthe,atthed
atthes's: atthe,atthes
atthings: atthe,atthing
atthings': atthe,atthing
atthing's: atthe,atthing
attracting's: attracts,attracting
auctioning's: auction,auctioning
auditioning's: auditions,auditioning
auggy: auggie,auggies
auggy's: auggie,auggies
authoring's: author,authoring
authorising's: authorise,authorizing
authorizing's: authorise,authorizing
autographing's: autograph,autographing
autoing's: auto,autoing
automating's: automated,automating
avalanching's: avalanche,avalanching
avenging's: avenge,avenging
awaiting's: awaits,awaiting
awakenings: awaken,awakening
awakenings': awaken,awakening
awakening's: awaken,awakening
awaking's: awakes,awaking
awarding's: awarded,awarding
away: runaway,run-away
aways: runaway,run-aways
away's: runaway,run-away's
aweing's: awe,aweing
awing's: awe,awing
axing's: axe,axing
ayas's: aya,ayas
babbanning's: babban,babbanning
babbans's: babban,babbans
backings: backs,backing
backings': backs,backing
backing's: backs,backing
badgering's: badger,badgering
badging's: badges,badging
badmouthings: badmouth,badmouthing
badmouthings': badmouth,badmouthing
badmouthing's: badmouth,badmouthing
baffling's: baffle,baffling
bagsed: bagging,bags
bagses: bagging,bags
bagsing: bagging,bags
bailing's: bailed,bailing
baiting's: baited,baiting
baking's: baked,baking
balancing's: balanced,balancing
balkans's: balkan,balkans
ballooning's: balloon,ballooning
balloting's: ballot,balloting
balwanting's: balwant,balwanting
bandaging's: bandages,bandaging
bandings: bands,banding
bandings': bands,banding
banding's: bands,banding
bandying's: bandy,bandying
banging's: bangs,banging
banishing's: banished,banishing
bankrupting's: bankrupt,bankrupting
banks's: banking,banks
bannering's: banner,bannering
banning's: banned,banning
banqueting's: banquets,banqueting
banuses: banu,banus
banuses': banu,banus
banus's: banu,banus
baptising's: baptized,baptising
baptizing's: baptized,baptising
barbecuing's: barbecue,barbecuing
barbequing's: barbecue,barbecuing
barbering's: barber,barbering
barbing's: barb,barbing
barging's: barge,barging
barking's: barks,barking
barracking's: barracks,barracking
barrelling's: barrels,barreling
barricading's: barricade,barricading
bashings: bash,bashing
bashings': bash,bashing
bashing's: bash,bashing
basing's: bases,basing
basking's: bask,basking
bastings: baste,basting
bastings': baste,basting
basting's: baste,basting
bathe: baths,bathed
bathes: baths,bathed
bathes': baths,bathed
bathe's: baths,bathed
bathing's: baths,bathing
batching's: batches,batching
bating's: bates,bating
battening's: batten,battening
battering's: battered,battering
bawking's: bawk,bawking
bawks's: bawk,bawks
bawling's: bawl,bawling
baying's: bays,baying
bayrame: bayram,bayramed
bayrames: bayram,bayramed
bayrames': bayram,bayramed
bayrame's: bayram,bayramed
bayramings: bayram,bayraming
bayramings': bayram,bayraming
bayraming's: bayram,bayraming
bayramme: bayram,bayrammed
bayrammes: bayram,bayrammed
bayrammes': bayram,bayrammed
bayramme's: bayram,bayrammed
bayrammings: bayram,bayramming
bayrammings': bayram,bayramming
bayramming's: bayram,bayramming
bayrams's: bayram,bayrams
beaconing's: beacon,beaconing
beadings: beads,beading
beadings': beads,beading
beading's: beads,beading
beaching's: beached,beaching
beaming's: beams,beaming
beaning's: bean,beaning
bearding's: bearded,bearding
bearings: bore,bearing
bearings': bore,bearing
bearing's: bore,bearing
beatings: beat,beating
beatings': beat,beating
beating's: beat,beating
beavering's: beaver,beavering
becoming's: become,becoming
beddings: beds,bedding
beddings': beds,bedding
bedding's: beds,bedding
beefing's: beefed,beefing
beeping's: beeped,beeping
beetling's: beetle,beetling
befalling's: befell,befalling
befitting's: befits,befitting
begetting's: beget,begetting
beggaring's: beggars,beggaring
begging's: begs,begging
bego: begining,begines
begoes: begining,begines
begoing: begining,begines
begone: begining,begines
begos: begining,begines
begos': begining,begines
bego's: begining,begines
beheadings: beheaded,beheading
beheadings': beheaded,beheading
beheading's: beheaded,beheading
beholding's: behold,beholding
beings: is,being
beings': is,being
being's: is,being
belching's: belch,belching
believing's: believe,believing
belittling's: belittled,belittling
bellicks's: bellick,bellicks
bellowing's: bellows,bellowing
bellyaching's: bellyache,bellyaching
beltings: belted,belting
beltings': belted,belting
belting's: belted,belting
benefitting's: benefits,benefiting
bennings's: benning,bennings
bents: bending,bent
bents': bending,bent
bent's: bending,bent
beriting's: berit,beriting
berrying's: berries,berrying
beseeching's: beseech,beseeching
besetting's: beset,besetting
besotting's: besotted,besotting
bettering's: betters,bettering
betting's: bets,betting
bewent: begining,begines
bewitching's: bewitch,bewitching
bicycling's: bicycle,bicycling
biding's: bide,biding
biking's: bikes,biking
bimbas's: bimba,bimbas
bindus's: bindu,bindus
binning's: bin,binning
birded: bree,bird
birdieing's: birdie,birdieing
birding: bree,bird
birds': bree,bird
birthing's: birthed,birthing
biting's: bites,biting
bits: bites,bitten
bits': bites,bitten
bit's: bites,bitten
blackberrying's: blackberries,blackberrying
blackings: blacked,blacking
blackings': blacked,blacking
blacking's: blacked,blacking
blackjacking's: blackjack,blackjacking
blacklisting's: blacklist,blacklisting
blading's: blades,blading
blaming's: blames,blaming
blanketing's: blankets,blanketing
blanking's: blanks,blanking
blaring's: blares,blaring
blathering's: blather,blathering
blazing's: blaze,blazing
bleaching's: bleach,bleaching
bleating's: bleat,bleating
bleed: ble,bled
bleeding: ble,bled
bleedings: ble,bled,bleeding
bleedings': ble,bled,bleeding
bleeding's: ble,bled,bleeding
bleeds: ble,bled
bleeds': ble,bled
bleed's: ble,bled
bleeping's: bleeps,bleeping
bleche: blech,bleches
bleche's: blech,bleches
blending's: blend,blending
bles's: ble,bles
blesse: bless,blessed
blindfolding's: blindfold,blindfolding
blinding's: blinds,blinding
bling's: ble,bling
blinkering's: blinker,blinkering
blipping's: blips,blipping
blissing's: bliss,blissing
blockings: blocked,blocking
blockings': blocked,blocking
blocking's: blocked,blocking
blood-stained: bloodstain,bloodstained
bloodstaining's: bloodstain,bloodstaining
blossoming's: blossoms,blossoming
blousing's: blouses,blousing
blowing's: blow,blowing
blueprinting's: blueprints,blueprinting
bluffing's: bluffs,bluffing
bluing's: blues,bluing
blunting's: blunt,blunting
blurring's: blur,blurring
blurting's: blurted,blurting
blushing's: blush,blushing
boarding's: boarded,boarding
boastings: boasted,boasting
boastings': boasted,boasting
boasting's: boasted,boasting
bobbing's: bobs,bobbing
bogdanses: bogdan,bogdans
bogdanses': bogdan,bogdans
bogdans's: bogdan,bogdans
bogeying's: bogie,bogeying
bogging's: bog,bogging
boggling's: boggle,boggling
boiling's: boils,boiling
boinking's: boink,boinking
bolting's: bolts,bolting
bombarding's: bombarded,bombarding
bonging's: bong,bonging
boning's: boned,boning
bonneting's: bonnet,bonneting
boobing's: boob,boobing
boogying's: boogie,boogying
bookmarking's: bookmark,bookmarking
boosting's: boost,boosting
bootlegging's: bootleg,bootlegging
bordering's: borders,bordering
borings: bore,boring
borings': bore,boring
boring's: bore,boring
borns: newborn,new-borns
born's: newborn,new-born's
boro: boroughs,borough
boro's: boroughs,borough
bosoming's: bosom,bosoming
bossing's: bosses,bossing
bothering's: bothers,bothering
bottling's: bottled,bottling
bottoming's: bottoms,bottoming
bouncing's: bounced,bouncing
bounding's: bounds,bounding
bowings: bows,bowing
bowings': bows,bowing
bowing's: bows,bowing
bowling's: bowls,bowling
boyles's: boyle,boyles
bracings: braces,bracing
bracings': braces,bracing
bracing's: braces,bracing
braiding's: braided,braiding
brainstorming's: brainstorm,brainstorming
brainwashing's: brainwash,brainwashing
braking's: brake,braking
branching's: branches,branching
brassing's: brass,brassing
brawling's: brawl,brawling
braying's: brays,braying
breadcrumbing's: breadcrumbs,breadcrumbing
breakings: break,breaking
breakings': break,breaking
breaking's: break,breaking
breastfeeding's: breastfeed,breastfeeding
breast-feeding's: breastfeed,breastfeeding
breathings: breathes,breathing
breathings': breathes,breathing
breathing's: breathes,breathing
brecking's: breck,brecking
brecks's: breck,brecks
breeding's: bred,breeding
breeing's: bree,breeing
brees's: bree,brees
breezing's: breeze,breezing
brewing's: brew,brewing
bribing's: bribes,bribing
bricking's: bricks,bricking
bridgings: bridges,bridging
bridgings': bridges,bridging
bridging's: bridges,bridging
brigading's: brigade,brigading
brimming's: brim,brimming
bringing's: brung,bringing
bristling's: bristles,bristling
broadcastings: broadcast,broadcasting
broadcastings': broadcast,broadcasting
broadcasting's: broadcast,broadcasting
broiling's: broiled,broiling
brokering's: brokered,brokering
bronzing's: bronze,bronzing
brooding's: brood,brooding
brooking's: brook,brooking
brooming's: broom,brooming
brothering's: brethren,brothering
browning's: browns,browning
browsing's: browse,browsing
bruising's: bruise,bruising
brunching's: brunch,brunching
brushings: brushed,brushing
brushings': brushed,brushing
brushing's: brushed,brushing
bucketing's: buckets,bucketing
buckling's: buckle,buckling
buddings: buds,budding
buddings': buds,budding
budding's: buds,budding
budging's: budge,budging
buffaloing's: buffalo,buffaloing
buffering's: buffer,buffering
buffetings: buffet,buffeting
buffetings': buffet,buffeting
buffeting's: buffet,buffeting
buffing's: buff,buffing
buggering's: bugger,buggering
bugging's: bugged,bugging
buggins's: buggin,buggins
bugling's: bugle,bugling
buildings: builds,building
buildings': builds,building
building's: builds,building
bulging's: bulge,bulging
bulking's: bulk,bulking
bullcrapping's: bullcrap,bullcrapping
bullcraps's: bullcrap,bullcraps
bulldogging's: bulldog,bulldogging
bulletining's: bulletin,bulletining
bulletproofing's: bulletproof,bulletproofing
bullet-proofing's: bulletproof,bulletproofing
bulling's: bulls,bulling
bullocking's: bullock,bullocking
bullshitting's: bullshit,bullshitting
bullying's: bullied,bullying
bumbling's: bumble,bumbling
bumming's: bums,bumming
bumpering's: bumper,bumpering
bumping's: bumps,bumping
bundling's: bundle,bundling
bungling's: bungled,bungling
bunkering's: bunker,bunkering
buonades: buona,buonas
buonades': buona,buonas
buonas's: buona,buonas
buonored: buona,buonor
buonoring: buona,buonor
buonors: buona,buonor
buonors': buona,buonor
buoying's: buoys,buoying
burking's: burke,burking
burks's: burk,burks
burnings: burn,burning
burnings': burn,burning
burning's: burn,burning
burping's: burped,burping
burring's: bur,burring
bushings: bushes,bushing
bushings': bushes,bushing
bushing's: bushes,bushing
bussing's: buses,busing
butchering's: butcher,butchering
butterflying's: butterfly,butterflying
buttering's: butters,buttering
butting's: butted,butting
buttocking's: buttocks,buttocking
buttoning's: buttons,buttoning
buying's: buys,buying
buzzing's: buzzes,buzzing
buzzkillings: buzzkill,buzzkilling
buzzkillings': buzzkill,buzzkilling
buzzkilling's: buzzkill,buzzkilling
by: bypassed,by-pass
bypassing's: bypassed,bypassing
by-passing's: bypassed,bypassing
cabbaging's: cabbage,cabbaging
cablings: cables,cabling
cablings': cables,cabling
cabling's: cables,cabling
caging's: cages,caging
cains's: cain,cains
cakewalking's: cakewalk,cakewalking
caking's: cakes,caking
calculating's: calculate,calculating
calderoning's: calderone,calderoning
calderonis: calderone,calderoni
calderonis': calderone,calderoni
calendaring's: calendar,calendaring
calibrating's: calibrate,calibrating
callings: call,calling
callings': call,calling
calling's: call,calling
calming's: calmed,calming
calving's: calves,calving
camouflaging's: camouflage,camouflaging
campaigning's: campaigned,campaigning
campos's: campo,campos
canalling's: canal,canaling
cancelling's: cancelled,cancelling
candis's: candi,candis
candying's: candied,candying
canings: cane,caning
canings': cane,caning
caning's: cane,caning
canning's: canned,canning
cannoning's: cannons,cannoning
canoeing's: canoe,canoeing
canting's: cant,canting
canvassing's: canvases,canvassing
capping's: caps,capping
capsuling's: capsule,capsuling
captaining's: captains,captaining
captivating's: captivated,captivating
caravannings: caravan,caravanning
caravannings': caravan,caravanning
caravanning's: caravan,caravanning
carbonating's: carbonate,carbonating
cardewing's: cardew,cardewing
careering's: careers,careering
caressing's: caress,caressing
carlettoing's: carletto,carlettoing
carmings: carm,carming
carmings': carm,carming
carming's: carm,carming
carolling's: carols,caroling
carpentering's: carpenter,carpentering
carpeting's: carpet,carpeting
carryings: carries,carrying
carryings': carries,carrying
carrying's: carries,carrying
carting's: carted,carting
cartooning's: cartoons,cartooning
cartwheeling's: cartwheels,cartwheeling
carvings: carve,carving
carvings': carve,carving
carving's: carve,carving
cashiering's: cashier,cashiering
casketing's: casket,casketing
castling's: castles,castling
cataloging's: catalog,cataloguing
cataloguing's: catalog,cataloguing
catching's: catches,catching
causing's: cause,causing
cauterise: cauterize,cauterized
cauterised: cauterize,cauterized
cauterises: cauterize,cauterized
cauterising: cauterize,cauterized
cauterising's: cauterize,cauterizing
cauterizing's: cauterize,cauterizing
cautioning's: caution,cautioning
caving's: caves,caving
cbs's: cb,cbs
cc'ing's: cc,cc'ing
ceasing's: ceased,ceasing
ceces's: cece,ceces
cecing's: cece,cecing
ceeded: cee,ceed
ceeding: cee,ceed
ceedings: cee,ceed,ceeding
ceedings': cee,ceed,ceeding
ceeding's: cee,ceed,ceeding
ceeds: cee,ceed
ceeds': cee,ceed,ceeds
ceeing's: cee,ceeing
celebrating's: celebrated,celebrating
cellaring's: cellar,cellaring
cementing's: cement,cementing
censorings: censors,censoring
censorings': censors,censoring
censoring's: censors,censoring
censuring's: censure,censuring
centering's: centers,centering
centrifuging's: centrifuge,centrifuging
centrings: centers,centering
centrings': centers,centering
centring's: centers,centering
certificating's: certificates,certificating
certifying's: certified,certifying
cieloi: cielo,cielos
cieloi's: cielo,cielos
cielos's: cielo,cielos
ciphering's: cypher,ciphering
circuiting's: circuits,circuiting
circulating's: circulates,circulating
circumstancing's: circumstance,circumstancing
circumventing's: circumvent,circumventing
civilising's: civilized,civilising
civilizing's: civilized,civilising
clamming's: clam,clamming
clamoring's: clamour,clamoring
clamouring's: clamour,clamoring
clamping's: clamp,clamping
clapping's: clap,clapping
claridgings: claridge,claridging
claridgings': claridge,claridging
claridging's: claridge,claridging
clarifying's: clarify,clarifying
clashing's: clash,clashing
classifies: classifieds,classified
classify: classifieds,classified
classifying: classifieds,classified
classifying's: classifieds,classified,classifying
classis: class,classes
classis's: class,classes
clattering's: clatter,clattering
clavos's: clavo,clavos
clawing's: claws,clawing
cleanings: cleans,cleaning
cleanings': cleans,cleaning
cleaning's: cleans,cleaning
cleansings: cleanse,cleansing
cleansings': cleanse,cleansing
cleansing's: cleanse,cleansing
clelias's: clelia,clelias
clerking's: clerk,clerking
clicking's: clicks,clicking
cliffy: cliffie,cliffies
climaxing's: climax,climaxing
climbing's: climbed,climbing
clinging's: cling,clinging
clinking's: clink,clinking
cloaking's: cloak,cloaking
clocking's: clocks,clocking
clogging's: clogs,clogging
cloning's: clone,cloning
closings: close,closing
closings': close,closing
closing's: close,closing
closuring's: closure,closuring
clothes': clothe,clothes
clotheslining's: clothesline,clotheslining
clothing's: clothe,clothing
clotting's: clot,clotting
cloving's: clove,cloving
clowning's: clowns,clowning
clubbing's: clubbed,clubbing
clueing's: clues,clueing
cluing's: clues,cluing
clunking's: clunks,clunking
clustering's: cluster,clustering
clutching's: clutch,clutching
coaling's: coal,coaling
coatings: coats,coating
coatings': coats,coating
coating's: coats,coating
cocking's: cocks,cocking
cocktailing's: cocktails,cocktailing
codding's: cod,codding
coddling's: coddle,coddling
codenaming's: codename,codenaming
code-naming's: codename,codenaming
coding's: coded,coding
coercing's: coerce,coercing
coffining's: coffins,coffining
coiling's: coiled,coiling
coinciding's: coincides,coinciding
coining's: coins,coining
collecting's: collects,collecting
colliers's: collier,colliers
colonising's: colonized,colonising
colonizing's: colonized,colonising
colorings: coloured,colouring
colorings': coloured,colouring
coloring's: coloured,colouring
colourings: coloured,colouring
colourings': coloured,colouring
colouring's: coloured,colouring
combing's: comb,combing
combining's: combined,combining
combs's: comb,combs
commanding's: commanded,commanding
commencing's: commence,commencing
commenting's: comments,commenting
commissioning's: commissioned,commissioning
communing's: commune,communing
commuting's: commuted,commuting
companioning's: companion,companioning
compartmenting's: compartment,compartmenting
compassing's: compass,compassing
compassionating's: compassionate,compassionating
compassioning's: compassion,compassioning
compelling's: compelled,compelling
compensating's: compensate,compensating
compiling's: compiled,compiling
comp'ing's: comped,comp'ing
complaining's: complained,complaining
completing's: completes,completing
complimenting's: compliment,complimenting
complying's: comply,complying
composing's: compose,composing
compounding's: compounded,compounding
comprehending's: comprehend,comprehending
compressed's: compressing,compressed
compromising's: compromise,compromising
concealing's: conceal,concealing
conceding's: conceded,conceding
conceiving's: conceived,conceiving
concentrating's: concentrated,concentrating
concerting's: concerts,concerting
concluding's: concluded,concluding
concreting's: concrete,concreting
condemning's: condemn,condemning
condescending's: condescend,condescending
conducting's: conducted,conducting
conferring's: conferred,conferring
confessing's: confessed,confessing
confiding's: confide,confiding
confining's: confined,confining
confiscating's: confiscated,confiscating
conflicting's: conflicts,conflicting
confronting's: confront,confronting
congratulating's: congratulate,congratulating
congregating's: congregate,congregating
coning's: cone,coning
conjoining's: conjoined,conjoining
conjuring's: conjures,conjuring
conn: cons,conning
connecting's: connects,connecting
conning's: cons,conning
connors's: connor,connors
conns: cons,conning
conn's: cons,conning
conquering's: conquer,conquering
consecrating's: consecrate,consecrating
consenting's: consent,consenting
considering's: considers,considering
consisting's: consists,consisting
consoling's: consoled,consoling
consorting's: consort,consorting
conspiring's: conspire,conspiring
constraining's: constrained,constraining
constructing's: constructed,constructing
construing's: construed,construing
consuming's: consume,consuming
contacting's: contacts,contacting
contaminating's: contaminated,contaminating
contemplating's: contemplate,contemplating
contenting's: contents,contenting
contouring's: contours,contouring
contracting's: contracted,contracting
contradicting's: contradicted,contradicting
contrasting's: contrast,contrasting
contributing's: contributed,contributing
controlling's: controls,controlling
converging's: converge,converging
conversing's: converse,conversing
converting's: convert,converting
conveying's: convey,conveying
convicting's: convicts,convicting
convoying's: convoy,convoying
cooking's: cooks,cooking
coolioing's: coolio,coolioing
cooping's: coop,cooping
co-ordinated: coordinate,coordinated
co-ordinating: coordinate,coordinating
coordinating's: coordinate,coordinating
cootering's: cooter,cootering
coppenings: coppens,coppening
coppenings': coppens,coppening
coppening's: coppens,coppening
coppering's: coppers,coppering
copping's: copped,copping
copsed: copped,cops
copses: copped,cops
copsing: copped,cops
copulating's: copulate,copulating
copying's: copied,copying
cording's: cord,cording
cordoning's: cordoned,cordoning
coring's: cor,coring
corking's: cork,corking
cornering's: cornered,cornering
correcting's: corrects,correcting
corresponding's: corresponds,corresponding
corroborating's: corroborates,corroborating
corroding's: corroded,corroding
corrupting's: corrupted,corrupting
corsicans's: corsican,corsicans
cos's: co,cos
costuming's: costumes,costuming
coughing's: cough,coughing
counterfeiting's: counterfeit,counterfeiting
countering's: countered,countering
counting's: counted,counting
couple: couplings,coupling
coupled: couplings,coupling
couples: couplings,coupling
couples': couplings,coupling
couple's: couplings,coupling
couriering's: courier,couriering
coursings: courses,coursing
coursings': courses,coursing
coursing's: courses,coursing
covenanting's: covenant,covenanting
coverings: covers,covering
coverings': covers,covering
covering's: covers,covering
covings: cove,coving
covings': cove,coving
coving's: cove,coving
cowering's: cower,cowering
coxing's: cox,coxing
coxswaining's: coxswain,coxswaining
cozying's: cosy,cozying
crabbings: crab,crabbing
crabbings': crab,crabbing
crabbing's: crab,crabbing
cracking's: cracked,cracking
crackinning's: crackin,crackinning
crackins's: crackin,crackins
cracklings: crackles,crackling
cracklings': crackles,crackling
crackling's: crackles,crackling
cradlings: cradle,cradling
cradlings': cradle,cradling
cradling's: cradle,cradling
crafting's: craft,crafting
cramming's: cram,cramming
cramping's: cramp,cramping
cranking's: cranks,cranking
crapping's: crapped,crapping
craps's: crapped,craps
crashing's: crashes,crashing
cratering's: crater,cratering
crating's: crates,crating
crawling's: crawled,crawling
creating's: creates,creating
credentialing's: credentials,credentialing
crediting's: credits,crediting
cregging's: cregg,cregging
cremating's: cremated,cremating
cresting's: crest,cresting
crewing's: crews,crewing
cribbing's: cribs,cribbing
cricketing's: crickets,cricketing
crimsoning's: crimson,crimsoning
cringing's: cringe,cringing
crippling's: cripple,crippling
crisping's: crisp,crisping
crisse: criss,crisses
crisse's: criss,crisses
crissings: criss,crissing
crissings': criss,crissing
crissing's: criss,crissing
criticising's: criticize,criticising
criticizing's: criticize,criticising
croaking's: croaks,croaking
crocodiling's: crocodiles,crocodiling
crooking's: crooks,crooking
cropping's: crop,cropping
crouching's: crouched,crouching
crowding's: crowded,crowding
crowing's: crow,crowing
crowning's: crowns,crowning
crucifying's: crucified,crucifying
crumbing's: crumbs,crumbing
crumbling's: crumble,crumbling
crumping's: crump,crumping
crumpling's: crumple,crumpling
crusading's: crusade,crusading
crusting's: crusts,crusting
cruzes's: cruz,cruzes
cubing's: cube,cubing
cuckooing's: cuckoo,cuckooing
cuddling's: cuddle,cuddling
cueing's: cue,cueing
cuffing's: cuff,cuffing
cuing's: cue,cuing
culling's: cull,culling
culminating's: culminated,culminating
culturing's: cultures,culturing
cuppings: cups,cupping
cuppings': cups,cupping
cupping's: cups,cupping
curating's: curate,curating
curbing's: curb,curbing
curing's: cured,curing
curling's: curl,curling
currying's: curry,currying
curst: cursing,cursed
curtaining's: curtain,curtaining
curtsying's: curtsy,curtsying
curving's: curves,curving
cushioning's: cushion,cushioning
cussing's: cuss,cussing
customising's: customized,customising
customizing's: customized,customising
cyaniding's: cyanide,cyaniding
cycling's: cycles,cycling
cylindering's: cylinder,cylindering
cοuldings: cοuld,cοulding
cοuldings': cοuld,cοulding
cοulding's: cοuld,cοulding
daans's: daan,daans
dabbling's: dabbled,dabbling
dafuing's: dafu,dafuing
daggering's: dagger,daggering
damming's: dam,damming
dampening's: dampen,dampening
damping's: damp,damping
dancing's: danced,dancing
dandis's: dandi,dandis
dandos's: dandi,dandos
dangling's: dangled,dangling
danishes's: danish,danishes
daring's: dared,daring
darting's: dart,darting
datelining's: dateline,datelining
dating's: date,dating
datis: dato,dati's
datis': dato,dati's
datos's: dato,datos
datus: dato,dati's
datus': dato,dati's
datuses: dato,dati's
datuses': dato,dati's
datus's: dato,dati's
dawdling's: dawdle,dawdling
dawning's: dawns,dawning
dayas's: daya,dayas
daydreaming's: daydream,daydreaming
dbs's: db,dbs
deadlocking's: deadlock,deadlocking
deandres's: deandre,deandres
dearying's: deary,dearying
debating's: debated,debating
debauching's: debauched,debauching
debriefings: debriefed,debriefing
debriefings': debriefed,debriefing
