abarque: abarca,abarques
critique: critica,critiques
croate: croat,croata
crònic: cròniques,crònics
croquet: croquetes,croqueta
cuanto: cuant,cuantos
cuart: cuartos,cuarta
cube: cub,cuba
cuirosos: cuiro,cuiros
cultive: cultiu,cultives
culto: cult,cultos
culturale: culturals,culturala
cur: cures,curs
curse: cursos,curses
dà: dan,dana
dall: dalla,dalls
danys: danye,danya
darrer: darreres,darrers
davalle: davall,davalla
dé: den,dens
debate: debats,debata
decente: decents,decenta
decisive: decisiva,decisives
declarante: declarant,declarantes
dedicare: dedicar,dedicara
dedicate: dedicat,dedicata
dedique: dedica,dediques
defensada: defensa,defensat
defensades: defensa,defensat
defensats: defensa,defensat
defensore: defensor,defensora
defensos: defensa,defenso
deficiente: deficients,deficientes
definitive: definitiu,definitives
degrade: degrada,degrades
deie: dei,deies
deixar: deix,deixa
deixo: deix,deixa
delat: delata,delats
delegue: delega,delegues
delito: delit,delitos
demanave: demanava,demanaves
demandante: demandant,demandantes
demòcrat: demòcrates,demòcrata
denegue: denega,denegues
dense: densa,denses
dente: dent,dentes
dentist: dentistes,dentista
denunciante: denunciant,denunciantes
denunciare: denunciar,denunciara
depende: depend,dependes
depés: depès,depeses
depressive: depressiva,depressives
dere: der,dera
derive: deriva,derives
derrer: derrera,derrers
desafiante: desafiant,desafiantes
desapareix: desapareixes,desapareixa
desate: desades,desata
descalço: descalç,descalços
desconcert: desconcerta,desconcerts
desconcertante: desconcertant,desconcertantes
descontento: descontent,descontentos
descriptive: descriptiva,descriptives
descrito: descrit,descritos
desé: desè,desena
desenvolupa: desenvolupats,desenvolupat
desenvolupar: desenvolupats,desenvolupat
desenvolupara: desenvolupats,desenvolupat
desenvolupe: desenvolupats,desenvolupat,desenvolupa
desenvolupes: desenvolupats,desenvolupat,desenvolupa
desenvolupo: desenvolupats,desenvolupat
desèrtic: desèrtiques,desèrtica
desgaste: desgast,desgasta
desintegrador: desintegradores,desintegradora
desitja: desitge,desitges
desmaie: desmaia,desmaies
desmunt: desmunta,desmunts
desperte: desperts,despertes
desplegue: desplega,desplegues
destaque: destacat,destaca,destaques
destaques: destacat,destaca
destinate: destinat,destinata
destorbe: destorb,destorba
destructive: destructiu,destructives
desvie: desvia,desvies
detergente: detergents,detergentes
determinante: determinants,determinantes
deurie: deuria,deuries
devoto: devota,devotos
diabòlic: diabòliques,diabòlics
dialogante: dialogant,dialogantes
diamante: diamant,diamantes
dibuixe: dibuixa,dibuixes
dibuixo: dibuixa,dibuixos
diente: dient,dientes
diet: dietes,dieta
diferencie: diferencia,diferencies
dificult: dificulta,dificultos
dificultads: dificultats,dificultada
difunto: difunts,difuntos
dig: dics,diga
digitale: digitals,digitales
digue: dics,digues
diguer: digueres,diguera
diminutive: diminutiu,diminutives
diminuto: diminut,diminutos
diposite: diposit,diposita
dique: dics,diques
direct: directa,directs
directive: directiva,directives
directo: directa,directos
dirigente: dirigents,dirigentes
discrete: discrets,discreta
discreto: discrets,discretos
discurso: discurs,discursos
dispar: dispare,dispara,dispars
disparate: disparada,disparates
dispars: dispare,dispara
disperse: dispers,disperses
disperso: dispers,dispersos
distante: distants,distantes
distint: distintes,distints
distinto: distintes,distintos
dius: dir,diu
diva: dir,diu
dive: dir,diu,dives
dives: dir,diu
dixe: dixa,dixes
dixo: dixa,dixos
documento: document,documentos
dolça: dolce,dolces
dolente: dolent,dolenta
domestique: domestica,domestiques
donau: donaves,donava
donzell: donzelles,donzella
dormire: dormir,dormira
dorso: dors,dorsos
dote: dot,dota
dotzé: dotzè,dotzenes
droit: droide,droides
droits: droide,droides
druid: druides,druida
duele: duel,duela
dug: duc,duga
dugs: duc,duga
dugue: duc,dugues
eclipse: eclipsa,eclipses
economist: economistes,economista
edictos: edicte,edictes
editare: editar,editara
editor: editora,editors
educació: educaciò,educacions
eixe: eixos,eixes
eixugue: eixuga,eixugues
elè: elen,elena
electo: electe,electes,electos
electos: electe,electes
electrónic: electróniques,electrónica
elefante: elefant,elefanta
elegante: elegants,eleganta
eleve: eleva,eleves
elite: elits,elites
elle: ell,ella
embolcalle: embolcalls,embolcalla
emés: emès,emesos
emocionante: emocionants,emocionantes
empasse: empassa,empasses
empate: empat,empata
emperó: emperò,emperons
empés: empès,empesos
encaix: encaixes,encaixa
encantador: encantadores,encantadors
encante: encants,encantes
encanto: encants,encantos
encare: encar,encara
encarrecs: encarreg,encarregues
endinse: endinsa,endinses
endugue: enduc,endugues
ene: en,ena
enfad: enfades,enfada
enfonse: enfonsa,enfonses
enganye: enganys,enganyes
engegue: engega,engegues
enrecord: enrecordes,enrecorda
enredosos: enredo,enredos
ent: entes,ents
enté: enten,entens
entenie: entenia,entenies
entrebanque: entrebancs,entrebanques
entreg: entregues,entrega
entremés: entremès,entremesos
entrevist: entrevistes,entrevists
envolt: envolta,envolts
enyor: enyores,enyors
époque: época,époques
equitative: equitatiu,equitatives
equivoca: equivoque,equivoques
ere: sers,era,eres
eres: sers,era
ergonòmic: ergonòmiques,ergonòmica
errante: errant,errantes
ers: sers,era
escabetxo: escabetx,escabetxos
escanejo: escaneja,escanejos
escènique: escènic,escèniques
escolto: escolte,escolta
escote: escot,escota
escrigue: escric,escrigues
escrito: escrits,escritos
escultur: escultures,escultura
ése: ésa,éses
esfèric: esfèriques,esfèrica
esglaie: esglai,esglaies
espant: espantes,espants
especifique: especifica,especifiques
esperada: espera,esperat
esperades: espera,esperat
esperar: espera,espero
esperats: espera,esperat
esperau: esperaves,esperava
espesse: espessa,espesses
espós: espòs,esposes
esque: esca,esques
esqueleto: esquelets,esqueletos
esquive: esquiva,esquives
éssera: sers,ésser
ésseres: sers,ésser
éssers: sers,ésser
estalvie: estalvia,estalvies
estans: estara,està
estar: estara,està
estau: estara,estava
estave: estara,estava,estaves
estaves: estara,estava
este: estos,esta
estema: estara,estem
estenall: estenalles,estenalla
estiguis: estara,estigui
estime: estim,estima
estirpe: estirp,estirpes
estrambòtic: estrambòtiques,estrambòtica
estranger: estrangeres,estrangers
estranye: estrany,estranya
estrel: estreles,estrela
estudiada: estudio,estudiat
estudiades: estudio,estudiat
estudiats: estudio,estudiat
estudie: estudio,estudia,estudies
estudies: estudio,estudia
estupend: estupendes,estupenda
ete: et,eta
evidente: evidents,evidentes
evitada: evita,evitat
evitades: evita,evitat
evitar: evita,evito
evitats: evita,evitat
evolutive: evolutiu,evolutives
evoque: evoca,evoques
exacto: exactes,exactos
excedente: excedent,excedentes
excessive: excessiva,excessives
exclusive: exclusius,exclusives
executive: executius,executives
exhausto: exhausta,exhaustos
exigente: exigents,exigentes
existeixes: existir,existeix
existente: existents,existentes
expectative: expectativa,expectatives
expediente: expedients,expedienta
experimento: experiments,experimentos
experto: experta,expertos
explícito: explícites,explícitos
explics: explicar,explica
expliques: explicar,explica
explosive: explosiva,explosives
expresse: expressa,expresses
expressive: expressiva,expressives
externe: externs,externa
extés: extès,extesa
extracto: extracte,extractes,extractos
extractos: extracte,extractes
extranye: extranys,extranya
extreme: extrems,extrema
exultante: exultant,exultantes
fabricante: fabricant,fabricantes
faça: face,faces
facile: facil,faciles
facilite: facilitat,facilita
facilites: facilitat,facilita
facta: facto,factos
facts: facto,factos
faics: faig,faiga
fajo: faig,fajos
fale: fal,fala
fall: falles,falls
falt: faltes,falts
falto: faltes,faltos
fam: fama,fams
fantàstic: fantàstiques,fantàstics
farie: faria,faries
fatale: fatals,fatales
fatigue: fatiga,fatigues
fatxe: fatxa,fatxes
favore: favors,favores
favorite: favorits,favorita
favorito: favorits,favoritos
feie: fei,feies
feme: fem,femes
feridor: feridores,feridora
festejo: festeja,festejos
festive: festiu,festives
fí: fin,fina
figurante: figurant,figurantes
fil: files,fils
filantròpic: filantròpiques,filantròpica
fille: fill,filla
finale: final,finales
finde: find,findes
finest: finestes,finesta
finite: finit,finita
finito: finit,finitos
fique: figa,fiques
fir: fires,firs
firm: firmes,firms
firmante: firmant,firmantes
firmare: firmar,firmara
fis: fin,fina
físic: físiques,físics
fixe: fixos,fixes
flac: flaques,flaca
flagrante: flagrant,flagrantes
flame: flam,flama
flor: flora,flors
floret: floretes,floreta
flot: flotes,flots
flotante: flotant,flotantes
fluit: fluid,fluida
fluits: fluid,fluida
foguer: fogueres,foguera
folleto: follet,folletos
forja: forge,forges
form: formo,forma,forms
formale: formals,formala
formato: formada,formatos
forme: formo,forma
formes: formo,forma
forms: formo,forma
forte: fort,forta
fota: foto,fotos
fotes: foto,fotos
fotie: fotia,foties
fots: foto,fotos
fous: sers,fou
fracàs: fracasso,fracassos
fracasa: fracasso,fracassos
fracasos: fracasso,fracassos
frag: fracs,fraga
fragmento: fragments,fragmentos
freàtic: freàtiques,freàtica
frede: fred,fredes
fregue: frec,fregues
fresc: frescos,frescs
fresse: fressa,fresses
fronte: fronts,fronta
fronter: fronteres,frontera
frustrante: frustrant,frustrantes
fug: fugues,fuga
fuig: fuges,fuigs
fum: fumes,fums
fumadore: fumadors,fumadora
fumet: fumetes,fumeta
funesto: funesta,funestos
furte: furt,furta
fusos: fu,fus
futur: future,futura,futurs
futurs: future,futura
gada: gate,gates
gades: gate,gates
gaie: gais,gaies
galé: galen,galens
gal·le: gales,gal·les
galope: galop,galopa
ganyot: ganyotes,ganyota
garantie: garantia,garanties
garantire: garantir,garantira
gare: gar,gara
garraf: garrafes,garrafa
gast: gastes,gasts
gasto: gastes,gastos
gat: gate,gates,gada
gato: gate,gates,gatos
gatos: gate,gates
gats: gate,gates
gener: generes,geners
generale: generals,generala
generate: generada,generates
gentile: gentil,gentiles
geològic: geològiques,geològics
geomètric: geomètriques,geomètrica
gerente: gerent,gerenta
gesto: gestes,gestos
geto: get,getos
gí: gin,gina
gille: gill,gilles
git: gita,gides
give: giu,gives
globale: globals,globales
glorie: gloria,glories
gom: gomes,goma
gor: gore,gora,gors
gors: gore,gora
gorsa: gore,gora,gors
governe: governs,governa
grà: gran,grans
grana: gran,grans
granate: granada,granates
granes: gran,grans
gratificante: gratificant,gratificantes
grato: grata,gratos
greg: grecs,grega
greny: grenyes,grenya
greuja: greuge,greuges
grille: grill,grilla
grog: groc,groga
grogs: groc,groga
groller: grolleres,grollers
grotesco: grotesc,grotescos
gruesos: grua,grues
guap: guapes,guapa
guet: guetos,gueta
guitze: guitza,guitzes
gusto: gusta,gustos
habe: hab,haba
habit: habita,habida
habitante: habitants,habitantes
hablare: hablar,hablara
hagis: havers,hagi
hall: halle,halla,halls
halls: halle,halla
harto: harta,hartos
hast: hasta,hastos
haur: haura,haurs
haurie: hauria,hauries
havere: havers,havera
havie: havers,havia,havies
havies: havers,havia
heroique: heroica,heroiques
hipòcrit: hipòcrites,hipòcrita
hol: hola,hols
homenatja: homenatge,homenatges
honest: honesta,honests
honesto: honesta,honestos
honor: honora,honors
hope: hop,hopes
hor: hora,hors
horde: horda,hordes
hostatja: hostatge,hostatges
hostile: hostil,hostiles
hue: hua,hues
huesos: hua,hues
humid: humida,humids
humile: humil,humiles
ià: ian,iana
iard: iardes,iarda
ic: iques,ics
idèntic: idèntiques,idèntica
identific: identifiques,identifica
ideologie: ideologia,ideologies
idole: idol,idoles
ignorante: ignorants,ignorantes
ignorare: ignorar,ignorara
imà: iman,imans
imanes: iman,imans
ime: im,ima
immense: immensa,immenses
immerse: immers,immerses
immigrante: immigrants,immigrantes
impaciente: impacients,impacienta
impact: impactes,impacts
impactante: impactants,impactantes
impacto: impactes,impactos
impedimento: impediments,impedimentos
imperare: imperar,imperara
impertinente: impertinent,impertinentes
implique: implica,impliques
importe: import,importa
impose: imposa,imposes
impresionante: impresionant,impresionantes
imprevisto: imprevist,imprevistos
impulse: impulsa,impulses
inactiu: inactives,inactiva
incandescente: incandescent,incandescentes
incentive: incentius,incentives
incerte: incert,incerta
incidente: incidents,incidentes
incoherente: incoherent,incoherentes
incomode: incomoda,incomodes
incòmode: incòmoda,incòmodes
incompetente: incompetents,incompetentes
incomplete: incomplet,incompleta
incompleto: incomplet,incompletos
inconsciente: inconscients,inconscientes
inconsistente: inconsistents,inconsistentes
inconveniente: inconvenients,inconvenientes
incorrecto: incorrecta,incorrectos
incremento: incrementa,incrementos
inculto: incults,incultos
indicare: indicar,indicara
indiferente: indiferent,indiferenta
indiqué: indiquen,indiquens
indirecto: indirecta,indirectos
indiscrete: indiscret,indiscreta
indulto: indult,indultos
ineptos: inepte,inepta
inerte: inert,inerta
inexistente: inexistent,inexistentes
infante: infant,infanta
inferiore: inferior,inferiora
infinite: infinits,infinita
infinito: infinits,infinitos
ingente: ingent,ingentes
inherente: inherents,inherentes
iniciative: iniciativa,iniciatives
inicie: inicia,inicies
injusto: injusta,injustos
innato: innat,innatos
inocente: inocent,inocentes
inquietante: inquietant,inquietantes
ins: ine,ina
inscrito: inscrit,inscritos
insect: insecte,insectes,insects
insecto: insecte,insectes,insectos
insectos: insecte,insectes
insects: insecte,insectes
insensato: insensat,insensatos
instante: instants,instantes
instrumento: instrument,instrumentos
insuficiente: insuficient,insuficientes
insulte: insults,insulta
insulto: insults,insultos
intacto: intactes,intactos
inte: int,inta
integrante: integrants,integrantes
intendente: intendent,intendenta
intense: intensa,intenses
intensiu: intensives,intensius
intent: intente,intenta,intents
intentos: intente,intenta
intents: intente,intenta
interactive: interactiva,interactives
intern: internes,interns
interpose: interposa,interposes
interpret: interpretes,interprets
intèrprete: intèrpret,intèrpretes
interrogante: interrogant,interrogantes
intolerante: intolerant,intolerantes
intransigente: intransigent,intransigentes
inutile: inutil,inutiles
invasor: invasores,invasora
inverse: invers,inverses
inverso: invers,inversos
ire: ir,ira
irlandés: irlandès,irlandesa
ite: it,ita
jac: jaques,jaca
jag: jaques,jaga
jal: jales,jala
jaquet: jaquetes,jaqueta
jeràrquic: jeràrquiques,jeràrquica
joanne: joanna,joannes
jordà: jordan,jordana
jornade: jornada,jornades
jugar: jugada,jugat
jugara: jugada,jugat
jugare: jugada,jugat,jugara
jugars: jugada,jugat
jugo: jugada,jugat
jugos: jugada,jugat,jugo
junte: junt,junta
junto: junt,juntos
justifique: justifica,justifiques
justo: justes,justos
juventut: juventud,juventudes
juventuts: juventud,juventudes
kàs: kas,kasos
kasa: kas,kasos
kases: kas,kasos
ké: ken,kens
koste: kost,kosta
kurd: kurdes,kurda
lacrimògen: lacrimogen,lacrimògens
laique: laics,laiques
lamento: lamenta,lamentos
lande: land,landes
laque: laca,laques
larà: laran,larana
larg: largue,largues,larga
larga: largue,largues
largs: largue,largues
late: lades,lata
lave: lava,laves
legislative: legislatiu,legislatives
legitim: legitima,legitims
lent: lentes,lents
lento: lentes,lentos
lés: lès,leses
liberale: liberals,liberales
lic: liques,lics
lid: lides,lids
lidere: lider,lidera
lie: lia,lies
lié: lien,liens
liebe: lieb,liebes
lienes: lien,liens
ligue: liques,ligues
limite: limit,limita
linde: linda,lindes
líquit: líquids,líquida
lire: lir,lires
list: listes,lists
listo: listes,listos
lite: lides,lita
llaço: llaç,llaços
llag: llacs,llaga
llagost: llagostes,llagosta
llags: llacs,llaga
llarg: llargues,llargs
lleixe: lleixa,lleixes
lleu: lleves,lleus
lleuger: lleugeres,lleugers
llevare: llevar,llevara
llog: lloc,lloga
llogue: lloc,llogues
lluit: lluites,lluides
llumet: llumetes,llumeta
locate: locats,locata
locomotor: locomotores,locomotora
lote: lots,lota
lous: love,loves
lú: lune,luna
lubricante: lubricant,lubricantes
magnate: magnat,magnates
magnífic: magnífiques,magnífics
magnifique: magnific,magnifiques
mainader: mainaderes,mainadera
majordome: majordom,majordoma
majúscul: majúscules,majúscula
male: mal,mala
malmés: malmès,malmeses
maltés: maltès,maltesa
mame: mam,mames
manare: manar,manara
mandó: mandon,mandona
màneg: mànecs,mànegues
manejo: maneja,manejos
maner: manera,maners
maneresos: manera,maneres
manifestante: manifestant,manifestantes
manifeste: manifest,manifesta
manifesto: manifest,manifestos
mant: manta,mants
manuscrite: manuscrits,manuscrita
manuscrito: manuscrits,manuscritos
map: mapes,mapa
maquet: maquetes,maqueta
maquíssim: maquíssimes,maquíssima
maravell: maravelles,maravella
marejo: mareig,marejos
marià: marian,marianes
marisco: marisc,mariscos
marque: marcs,marques
marqués: marquès,marquesa
marxare: marxar,marxara
mascaret: mascaretes,mascareta
masse: massa,masses
mastec: mastegues,mastega
matare: matar,matara
mateixo: mateix,mateixos
materiale: materials,materiales
maternale: maternal,maternales
maxime: maxim,maxima
medievale: medievals,medievala
meine: mein,meina
mejore: mejor,mejora
mend: mendes,menda
menisco: meniscs,meniscos
mento: menta,mentos
meque: mec,meques
meravellós: meravellòs,meravelloses
mersos: mera,mers
metàfor: metàfores,metàfora
mic: miques,mica
mid: mides,mids
milersa: miler,milers
militante: militant,militantes
mille: mills,milla
millorada: milloro,millorat
millorades: milloro,millorat
millorats: milloro,millorat
mime: mim,mima
minore: minor,minora
minúscul: minúscules,minúsculs
minute: minuts,minutes
minuto: minuts,minutos
miope: miop,miopes
mirau: miraves,mirava
missils: missile,missiles
mitjo: mitges,mitjos
mito: mides,mitos
mixo: mix,mixos
mixt: mixta,mixts
mixto: mixta,mixtos
mobile: mobil,mobila
modele: models,modela
modest: modestes,modesta
modesto: modestes,modestos
mog: moca,moga
moixo: moix,moixos
molest: molestos,molests
moleste: molestos,molestes
molte: molt,moltes
molusco: moluscs,moluscos
momie: momia,momies
monda: monde,mondes
monete: monet,moneta
monumento: monuments,monumentos
mor: mora,mors
morale: morals,morales
moré: morè,morenes
moribunde: moribund,moribundes
morire: morir,morira
morte: mort,morta
mosque: mosca,mosques
mosquito: mosquits,mosquitos
mossegue: mossega,mossegues
motivador: motivadores,motivadora
motor: motores,motors
move: mous,moves
movie: movia,movies
mud: mudes,muds
muerte: muertos,muerta
mulato: mulata,mulatos
mult: multes,multa
